Fecha;Tascadero Nodo IOT-Altura de Nieve[cm];Tascadero Nodo IOT-Peso de la Nieve1[kg/m²];Tascadero Nodo IOT-Peso de la Nieve2[kg/m²];Tascadero Nodo IOT-Temperatura Sensor1[°C];Tascadero Nodo IOT-Temperatura Sensor2[°C];Tascadero Nodo IOT-Temperatura del Aire[°C];Tascadero-Altura de Nieve[cm];Tascadero-Peso de la Nieve[kg/m²];Tascadero-Temperatura del Aire[°C]
01-04-2024 0:00;-1.7;4.72;5.06;5.34;5.54;3.16;-0.8;0.68;3.48
01-04-2024 1:00;-1.8;4.46;6.12;4.45;4.74;2.47;-0.9;0.7;3.1
01-04-2024 2:00;-1;4.3;6.94;3.69;4.06;2.72;-1;0.71;3.22
01-04-2024 3:00;-2.7;4.18;7.7;2.91;3.32;2.48;-1;0.72;3.18
01-04-2024 4:00;-2.7;3.96;8.36;2.38;2.75;2.49;-0.8;0.73;2.82
01-04-2024 5:00;-0.1;3.7;8.69;2.31;2.69;3.94;-1.2;0.7;5.25
01-04-2024 6:00;0;3.7;8.69;2.31;2.69;4;-0.8;0.69;4.05
01-04-2024 7:00;0;3.7;8.69;2.31;2.69;4;-0.8;0.67;4.61
01-04-2024 8:00;1.8;2.3;9.87;2.66;2.86;9.96;-0.8;0.54;8.61
01-04-2024 9:00;2.4;0.98;6.11;10.12;9.51;12.86;-0.7;0.38;9.63
01-04-2024 10:00;3.5;2.18;-3.07;18.23;17.23;14.52;-0.8;0.24;11.16
01-04-2024 11:00;3.3;4.66;-9.3;25.36;24.45;12.71;-1;0.27;11.59
01-04-2024 12:00;1.7;5.29;-10.28;29.11;28.6;12.89;-1;0.29;12.09
01-04-2024 13:00;1.8;5.76;-10.58;30.97;30.75;12.75;-1.3;0.27;11.89
01-04-2024 14:00;1.7;5.82;-11.74;26.9;26.69;12.11;-0.9;0.27;11.07
01-04-2024 15:00;2.5;5.16;-11.34;25.81;25.46;13.41;-1.3;0.28;11.38
01-04-2024 16:00;2.5;5.88;-11.16;24.66;24.44;12.99;-1.1;0.29;10.87
01-04-2024 17:00;1.8;6.53;-10.14;21.43;21.41;10.96;-0.8;0.28;9.51
01-04-2024 18:00;0;6.77;-6.5;16.08;15.96;8.22;-0.3;0.38;8.09
01-04-2024 19:00;0.2;6.28;-2.6;12.3;12.12;6.91;-0.4;0.47;7.1
01-04-2024 20:00;-1.4;5.92;-0.04;9.79;9.64;5.78;-0.5;0.49;6.29
01-04-2024 21:00;-1.2;5.51;1.88;8;7.91;5.69;-0.7;0.55;6.18
01-04-2024 22:00;0;5.07;3;6.86;6.86;5.8;-0.8;0.56;6.16
01-04-2024 23:00;-0.8;4.74;4.08;5.97;6.06;5.93;-0.7;0.55;6.42
02-04-2024 0:00;-1.6;4.62;4.64;5.3;5.42;5.88;-0.6;0.57;6.42
02-04-2024 1:00;-1.1;4.41;5.23;4.78;4.98;6.06;-0.7;0.54;6.46
02-04-2024 2:00;-1;4.41;5.83;4.17;4.44;5.47;-0.8;0.57;5.93
02-04-2024 3:00;-1.2;4.28;6.68;3.38;3.61;5.12;-1;0.6;5.73
02-04-2024 4:00;-1.8;4.24;7.28;2.78;3.13;4.72;-0.9;0.64;5.11
02-04-2024 5:00;-2.6;4.01;7.92;2.35;2.75;3.9;-1;0.65;4.18
02-04-2024 6:00;-1.1;3.9;8.32;1.99;2.41;3.94;-0.8;0.63;4.8
